trade_id,strategy_id,timestamp,entry_price,direction,trigger_context_origen,trigger_context_distancia,Recorrido
20231213_191956_594000_L16700,RangoHistorico_V1.6,2023-12-13 19:19:56.594,16700,Largo,16576.0,124.0,"M0,D1,M2,D2,M3,D6,M8,D22,M83,D117,M740,D200"
20231213_200429_432000_L16800,RangoHistorico_V1.6,2023-12-13 20:04:29.432,16800,Largo,16670.75,129.25,"M0,D1,M9,D7,M26,D200"
20231213_202431_065000_C16700,RangoHistorico_V1.6,2023-12-13 20:24:31.065,16700,Corto,16806.5,106.5,"M0,D12,M73,D200"
20231213_232934_737000_L16800,RangoHistorico_V1.6,2023-12-13 23:29:34.737,16800,Largo,16681.75,118.25,"D0,M6,D4,M340,D200"
20231214_151733_942000_C16800,RangoHistorico_V1.6,2023-12-14 15:17:33.942,16800,Corto,16885.0,85.0,"M0,D2,M9,D4,M56,D80,M133,D82,M688,D200"
20231214_180319_241000_C16700,RangoHistorico_V1.6,2023-12-14 18:03:19.241,16700,Corto,16820.5,120.5,"M0,D3,M13,D72,M288,D200"
20231214_191246_901000_L16700,RangoHistorico_V1.6,2023-12-14 19:12:46.901,16700,Largo,16628.0,72.0,"M0,D31,M1861,D200"
20231215_075543_900000_L16800,RangoHistorico_V1.6,2023-12-15 07:55:43.900,16800,Largo,16692.25,107.75,"M0,D1,M3,D8,M10,D71,M54,D173,M1461,D200"
20231215_175934_939000_C16800,RangoHistorico_V1.6,2023-12-15 17:59:34.939,16800,Corto,16887.25,87.25,"D0,M1,D1,M6,D167,M150,D200"
20231218_150802_878000_L16900,RangoHistorico_V1.6,2023-12-18 15:08:02.878,16900,Largo,16762.5,137.5,"M0,D1,M11,D112,M22,D177,M694,D200"
20231219_153142_141000_L17000,RangoHistorico_V1.6,2023-12-19 15:31:42.141,17000,Largo,16855.75,144.25,"M0,D1,M10,D65,M30,D139,M184,D152,M294,D200"
20231220_193242_366000_C17000,RangoHistorico_V1.6,2023-12-20 19:32:42.366,17000,Corto,17073.5,73.5,"D0,M14,D4,M48,D13,M966,D200"
20231220_195109_167000_C16900,RangoHistorico_V1.6,2023-12-20 19:51:09.167,16900,Corto,17003.25,103.25,"M0,D1,M7,D2,M261,D3,M566,D200"
20231220_200516_679000_C16800,RangoHistorico_V1.6,2023-12-20 20:05:16.679,16800,Corto,16900.75,100.75,"M0,D3,M6,D99,M47,D200"
20231221_133303_824000_L16900,RangoHistorico_V1.6,2023-12-21 13:33:03.824,16900,Largo,16758.5,141.5,"M0,D1,M281,D200"
20231221_145723_587000_C16900,RangoHistorico_V1.6,2023-12-21 14:57:23.587,16900,Corto,16970.25,70.25,"M0,D1,M5,D16,M58,D34,M227,D133,M340,D200"
20231221_193908_789000_L16900,RangoHistorico_V1.6,2023-12-21 19:39:08.789,16900,Largo,16815.0,85.0,"M0,D1,M6,D26,M29,D132,M1061,D200"
20231222_134323_086000_L17000,RangoHistorico_V1.6,2023-12-22 13:43:23.086,17000,Largo,16867.0,133.0,"M0,D7,M1,D78,M166,D200"
20231222_193132_791000_C16900,RangoHistorico_V1.6,2023-12-22 19:31:32.791,16900,Corto,17041.5,141.5,"M0,D1,M16,D200"
20231225_232605_394000_L17000,RangoHistorico_V1.6,2023-12-25 23:26:05.394,17000,Largo,16896.0,104.0,"M0,D4,M44,D36,M149,D61,M661,D200"
20231226_202521_979000_L17100,RangoHistorico_V1.6,2023-12-26 20:25:21.979,17100,Largo,16984.75,115.25,"D0,M1,D2,M3,D3,M38,D4,M45,D116,M99,D178,M261,D200"
20231229_160650_610000_C17000,RangoHistorico_V1.6,2023-12-29 16:06:50.610,17000,Corto,17165.25,165.25,"M0,D5,M4,D40,M247,D199,M2663,D200"
20240102_111850_013000_C16900,RangoHistorico_V1.6,2024-01-02 11:18:50.013,16900,Corto,17049.75,149.75,"M0,D1,M9,D11,M29,D42,M2263,D200"
20240102_143826_313000_C16800,RangoHistorico_V1.6,2024-01-02 14:38:26.313,16800,Corto,16910.5,110.5,"M0,D10,M18,D31,M1863,D200"
20240102_153533_157000_C16700,RangoHistorico_V1.6,2024-01-02 15:35:33.157,16700,Corto,16807.75,107.75,"M0,D1,M8,D17,M17,D92,M60,D200"
20240102_185650_337000_C16700,RangoHistorico_V1.6,2024-01-02 18:56:50.337,16700,Corto,16787.75,87.75,"M0,D1,M1,D5,M47,D10,M128,D30,M310,D149,M1463,D200"
20240102_205134_499000_L16700,RangoHistorico_V1.6,2024-01-02 20:51:34.499,16700,Largo,16622.5,77.5,"M0,D1,M4,D45,M149,D200"
20240103_130147_162000_C16600,RangoHistorico_V1.6,2024-01-03 13:01:47.162,16600,Corto,16737.25,137.25,"M0,D1,M3,D2,M6,D3,M8,D184,M74,D200"
20240103_192642_892000_L16600,RangoHistorico_V1.6,2024-01-03 19:26:42.892,16600,Largo,16529.75,70.25,"M0,D6,M115,D200"
20240104_131101_017000_C16500,RangoHistorico_V1.6,2024-01-04 13:11:01.017,16500,Corto,16628.75,128.75,"M0,D1,M5,D2,M6,D6,M11,D28,M19,D65,M227,D200"
20240104_174427_861000_C16500,RangoHistorico_V1.6,2024-01-04 17:44:27.861,16500,Corto,16583.75,83.75,"M0,D1,M4,D5,M14,D11,M75,D116,M663,D200"
20240105_075937_158000_C16400,RangoHistorico_V1.6,2024-01-05 07:59:37.158,16400,Corto,16529.0,129.0,"M0,D5,M2,D7,M3,D13,M7,D155,M263,D200"
20240105_150014_513000_L16500,RangoHistorico_V1.6,2024-01-05 15:00:14.513,16500,Largo,16334.25,165.75,"M0,D1,M1,D32,M309,D200"
20240105_164842_967000_C16500,RangoHistorico_V1.6,2024-01-05 16:48:42.967,16500,Corto,16577.25,77.25,"M0,D1,M2,D13,M23,D93,M487,D200"
20240108_011453_776000_L16500,RangoHistorico_V1.6,2024-01-08 01:14:53.776,16500,Largo,16403.75,96.25,"M0,D11,M1,D200"
20240108_093001_658000_C16400,RangoHistorico_V1.6,2024-01-08 09:30:01.658,16400,Corto,16500.25,100.25,"M0,D7,M87,D200"
20240108_141500_384000_L16500,RangoHistorico_V1.6,2024-01-08 14:15:00.384,16500,Largo,16378.25,121.75,"M0,D2,M2,D4,M3,D7,M7,D9,M7746"
20240108_145725_174000_L16600,RangoHistorico_V1.6,2024-01-08 14:57:25.174,16600,Largo,16497.75,102.25,"M0,D2,M4,D9,M7346"
20240108_173743_771000_L16700,RangoHistorico_V1.6,2024-01-08 17:37:43.771,16700,Largo,16597.75,102.25,"M0,D1,M12,D5,M445,D169,M6946"
20240108_204006_880000_L16800,RangoHistorico_V1.6,2024-01-08 20:40:06.880,16800,Largo,16698.75,101.25,"M0,D1,M10,D100,M45,D200"
20240109_115031_353000_C16700,RangoHistorico_V1.6,2024-01-09 11:50:31.353,16700,Corto,16811.25,111.25,"M0,D1,M12,D4,M65,D102,M169,D200"
20240109_165114_430000_L16800,RangoHistorico_V1.6,2024-01-09 16:51:14.430,16800,Largo,16657.75,142.25,"M0,D1,M4,D8,M274,D94,M1028,D200"
